id,airdate,episode_number,image_path,name,season,synopsis
18,1990-11-08,18,/episode/18.webp,Dancin' Homer,2,
19,1990-11-15,19,/episode/19.webp,Dead Putting Society,2,"After feeling that his goody-two-shoes neighbor, Ned Flanders, is better than him in every way, Homer decides to prove his family's worth...by forcing Bart to compete in a mini-golf tournament with Ned's son, Todd."
20,1990-11-22,20,/episode/20.webp,Bart vs. Thanksgiving,2,Bart destroys Lisa's Thanksgiving centerpiece and runs away from home when he gets punished for refusing to apologize to her.
21,1990-12-06,21,/episode/21.webp,Bart the Daredevil,2,A night at a monster truck rally featuring daredevil Lance Murdock prompts Bart to do daredevil tricks on his skateboard — and set his sights on jumping Springfield Gorge.
22,1990-12-20,22,/episode/22.webp,Itchy & Scratchy & Marge,2,"Marge leads a protest against The Itchy & Scratchy Show after Maggie whacks Homer on the head with a mallet, but viewer interest drops when the Itchy & Scratchy cartoons become mind-numbingly boring and Marge gets branded a hypocrite when her anti-TV violence group wants to go after Michaelangelo's David for depicting male frontal nudity, but Marge sees nothing wrong with the statue."
23,1991-01-10,23,/episode/23.webp,Bart Gets Hit by a Car,2,"After Bart is run over by a car, his family tries to create a lawsuit against Mr. Burns. Both Burns and the Simpsons elaborate on the true story, which leads to yet another strain on Marge and Homer’s marriage."
24,1991-01-24,24,/episode/24.webp,"One Fish, Two Fish, Blowfish, Blue Fish",2,"The Simpsons have dinner out at a new sushi restaurant, which turns deadly when Homer eats some improperly-cut fugu and is told by Dr. Hibbert that he has only 22 hours left to live."
25,1991-01-31,25,/episode/25.webp,The Way We Was,2,"When the TV malfunctions, Marge and Homer plan to tell their children a story. After refusing to tell the story of how Bart was born (which would later be seen exactly one season later in Season 3's ""I Married Marge""), they choose to tell the story of how Homer and Marge met in high school—and how Marge almost fell in love with a nerd named Artie Ziff."
26,1991-02-07,26,/episode/26.webp,Homer vs. Lisa and the 8th Commandment,2,"Homer becomes the most popular person in town, when he gets an illegal cable hookup. But Lisa doesn't approve and fears that Homer will go to hell for violating the Eighth Commandment (""Thou shalt not steal"")."
27,1991-02-14,27,/episode/27.webp,Principal Charming,2,"Worried that Selma is depressed over being single and childless, Marge orders Homer to find her sister a man — but ends up pairing Principal Skinner with Patty (who's celibate here, but later episodes would have her come out as a lesbian) by mistake. Meanwhile, Bart is sentenced to reseed the school's field with Groundskeeper Willie (in his first appearance) after spelling his name out on it with an herbicide he created in science class."
28,1991-02-21,28,/episode/28.webp,"Oh Brother, Where Art Thou?",2,"Grampa suffers a heart attack while complaining about a bad McBain movie, and, worried that he may be dying soon, tells Homer that he has an illegitimate half-brother named Herb Powell, who turns out to be a rich, yet struggling car company owner in need of a million-dollar idea, but can Herb really count on the idiot half-brother whom he's never met?"
29,1991-03-07,29,/episode/29.webp,Bart's Dog Gets an F,2,"After Santa's Little Helper gets in trouble for destroying Homer's new sneakers, eating Homer's macadamia nut cookie, and tearing Marge's heirloom quilt, Bart enrolls the hound into an obedience school, which Santa's Little Helper must pass if he wants to continue being the Simpsons' pet."
30,1991-03-28,30,/episode/30.webp,Old Money,2,"Grampa falls in love with an old woman named Beatrice, but when his family forces him to miss her birthday (and death), he disowns Homer — and gains Beatrice's inheritance."
31,1991-04-11,31,/episode/31.webp,Brush with Greatness,2,"Marge revives her passion for art after finding her old Ringo Starr portraits (which were rejected in high school by her art teacher) and is commissioned to create a portrait for Mr. Burns. Meanwhile, Homer decides to exercise after getting stuck in a water slide at Mt. Splashmore and being humiliated on the evening news."
32,1991-04-25,32,/episode/32.webp,Lisa's Substitute,2,"After Ms. Hoover announces that she's on medical leave for Lyme disease, Lisa finds a kindred spirit in her substitute teacher, Mr. Bergstrom, but when he leaves and Ms. Hoover returns, Lisa is crushed and angry that Homer doesn't care. Meanwhile, Bart runs for class president."
33,1991-05-02,33,/episode/33.webp,The War of the Simpsons,2,"When Marge throws a dinner party, Homer gets drunk and makes a fool of himself (even going as far as tricking Maude Flanders into digging for nuts so he can ogle her cleavage) and Marge forces Homer to explain to Bart what he did and go on a marriage retreat (which Homer wants to abandon so he can go after a legendary catfish). Meanwhile, after their babysitter freaks out over memories of Bart trying to run her over with the family car, Grampa Simpson steps in to care for the kids — and Bart and Lisa take advantage of the old man by making him do whatever they want (eat ice cream instead of dinner, smoke cigars, drink coffee, and have a wild party)."
34,1991-05-09,34,/episode/34.webp,Three Men and a Comic Book,2,"Bart becomes obsessed with buying the first issue of Radioactive Man, but can't scrape together the $100 he needs to make it his own, even after working for the elderly Mrs. Glick, who hires him to do yardwork. Enlisting Milhouse (who was more interested in getting a baseball card) and Martin (who also wanted the first issue of Radioactive Man) Bart is finally able to buy the comic, but ends up fighting with his two best friends over who gets to keep it."
35,1991-07-11,35,/episode/35.webp,Blood Feud,2,"Homer discovers that Bart has a rare blood type that can save Mr. Burns' life, Homer convinces Bart (who was the only Springfieldian that has the blood type) to give blood (in the hopes that Burns will give the Simpsons a cash reward), but when all Burns gives Bart is a ""Thank You"" card, Homer writes a nasty letter to Burns which ends up getting sent to him by Bart."
36,1991-09-19,36,/episode/36.webp,Stark Raving Dad,3,"When Homer is declared insane after coming into work wearing a pink T-shirt (that turned pink after Bart put his lucky red cap in the wash) and having Bart fill out his psychiatric evaluation for him, Homer is committed to the New Bedlam Rest Home for the Emotionally Interesting and meets a big, bald mental patient who claims he's pop singer Michael Jackson. Meanwhile, Lisa is depressed over her upcoming eighth birthday."
37,1991-09-26,37,/episode/37.webp,Mr. Lisa Goes to Washington,3,"Thanks to Lisa's patriotic winning essay in a contest sponsored by Reading Digest magazine, the Simpsons win a trip to Washington, D.C. However, Lisa's faith in democracy is shaken when she sees her local representative taking a bribe for a permit to cut down the Springfield National Forest."
38,1991-10-03,38,/episode/38.webp,When Flanders Failed,3,"When Ned Flanders announces at a barbecue that he is starting his own general store catering to the left-handed, Homer wishes that his goody-goody neighbor will suffer financial ruin. Meanwhile, Bart takes karate class but ends up cutting the activity when he realizes that the task was not as exciting as it was cracked up to be."
39,1991-10-10,39,/episode/39.webp,Bart the Murderer,3,"After suffering from bad luck, Bart accidentally stumbles into the Legitimate Businessman's Social Club, a mobster front. He becomes their bartender, but when he shows up late at work and blames Principal Skinner, Fat Tony then goes to confront Skinner. The next day when Bart comes to school, he discovers that Skinner is missing."
40,1991-10-17,40,/episode/40.webp,Homer Defined,3,"During a near-fatal meltdown at the Springfield Nuclear Power Plant, Homer frantically presses buttons on his console until he hits the right combination and saves the day. Homer becomes a hero even though he realizes in his heart that what he did was a fluke. Meanwhile, Bart's friendship with Milhouse has changed when Luann won't let him play with Bart anymore because she says that Bart is a bad influence on her son and has banned Milhouse from seeing Bart."
41,1991-10-24,41,/episode/41.webp,"Like Father, Like Clown",3,"Krusty the Clown has dinner with The Simpsons (as a thank-you to Bart for clearing his name in ""Krusty Gets Busted""), but the fun turns to tears when Krusty confesses that he's Jewish and that his rabbi father has disowned him for wanting to go into showbiz."
42,1991-10-31,42,/episode/42.webp,Treehouse of Horror II,3,"The sequel to the original Treehouse of Horror, where the three tales of terror for this year come from Lisa, Bart, and Homer eating too much candy before bed on Halloween night. In ""Lisa's Dream: The Monkey's Paw"", Homer's monkey paw souvenir from Morocco makes wishes come true for his family — and misfortune to befall everyone else; in ""Bart's Dream: The Bart Zone,"" Bart's omnipotence forces everyone in town to bow to his whims and think happy thoughts or incur his wrath; and in ""Homer's Dream: If I Only Had a Brain,"" Mr. Burns builds the perfect robot worker after firing Homer, but the experiment goes awry when Mr. Burns and Smithers go grave-robbing for a brain and happen upon Homer's (who is actually napping in a ditch at his new job as a grave digger)."
43,1991-11-07,43,/episode/43.webp,Lisa's Pony,3,"Homer makes up for his latest example of fatherly ineptitude (failing to get Lisa a saxophone reed in time for the school talent show) by purchasing Lisa the one thing she has always wanted: a pony. However, the pony proves to be more expensive than first thought, so Homer takes a second job at the Kwik-E-Mart to keep Lisa happy."
44,1991-11-15,44,/episode/44.webp,Saturdays of Thunder,3,"Bart becomes deeply immersed in competitive soapbox racing while Homer begins to realize that he is not as good a father as he thought. After attending a lecture at the National Fatherhood Institute, Homer becomes a more attentive father, helping Bart build the ultimate soapbox racer. But Bart chooses not to use it in his big race against Nelson, instead opting to borrow Martin's scientifically engineered aerodynamic racer."
45,1991-11-21,45,/episode/45.webp,Flaming Moe's,3,"Homer tells Moe of creating a zesty drink called the Flaming Homer. It is so good that Moe steals Homer's recipe (which includes cough syrup), renames it the Flaming Moe and takes credit for inventing it. The Flaming Moe revitalizes business, turning Moe's Tavern into the hottest location in Springfield, and causing the relationship of Homer and Moe to splinter."
46,1991-12-05,46,/episode/46.webp,Burns Verkaufen der Kraftwerk (Burns to Sell the Power Plant),3,"Depressed over spending all his time at work and not enjoying life, Mr. Burns decides to sell the nuclear plant to fill his already fat wallet, and the German investors interested in the plant fire Homer for not being an efficient worker."
47,1991-12-26,47,/episode/47.webp,I Married Marge,3,"While Marge is at the doctor's to see whether or not she's pregnant for the fourth time, Homer tells the kids the story of his post-high school life with Marge, including how Bart was conceived at the mini-golf course, how Homer and Marge quickly got married at a roadside chapel, and how Homer provided for his new family by getting a job at the nuclear plant."
48,1992-01-09,48,/episode/48.webp,Radio Bart,3,"Bart uses a radio microphone that he got on his birthday to trick the townspeople into thinking a little boy is stuck in the town's well, but when Bart goes to retrieve the radio, he's the one stuck in the well with no one to help him."
49,1992-01-24,49,/episode/49.webp,Lisa the Greek,3,"Homer and Lisa find a way to bond approaching their different interests (and intellects), with Homer using Lisa's uncanny ability to accurately predict the winning team on football games to win a fortune under the guise of Sunday being ""Daddy-Daughter Day"". When Lisa realizes near the end of the football season that she was only being used, she gives Homer a final bet that could make or break their relationship. Meanwhile, Marge gets new clothes for Bart by going shopping together."
50,1992-02-06,50,/episode/50.webp,Homer Alone,3,"After suffering a mental breakdown while doing errands, Marge decides that a vacation away from the family will do her some good — but it ends up being bad for everyone else, including Maggie, who runs away to find her; Homer, who can't find his youngest daughter, and Bart and Lisa, who have to endure a weekend with the Gruesome Twosome, Patty and Selma."
51,1992-02-13,51,/episode/51.webp,Bart the Lover,3,"Bart creates a phony lover for a lonely Ms. Krabappel after Krabappel punishes Bart with detention for smashing the class fish tank with a yo-yo. Meanwhile, Homer curbs his profanity with a swear jar after Ned Flanders' son, Todd, picks up Homer's foul language."
52,1992-02-20,52,/episode/52.webp,Homer at the Bat,3,"The Springfield Nuclear Power Plant's softball team is surprisingly successful thanks to Homer, but Mr. Burns decides to call in Major League Baseball ringers (all of which voice themselves) for the championship game anyway especially after making a $1 million dollar bet that his team will win."
53,1992-02-27,53,/episode/53.webp,Separate Vocations,3,"When the results of Bart's vocational survey suggest he'd make a great cop and Lisa learns her dreams of becoming a professional sax player are doomed by genetics (she has stubby fingers, which would make saxophone playing impossible, even though she never exhibited any problems before this episode or since), their roles at Springfield Elementary are reversed: Bart becomes a hall monitor who cracks down on school misbehavior (after surviving a run-in with Snake during a police ride-along) while Lisa becomes a rebel who smokes with the bad kids, gets detention, and pulls off a teachers' edition textbook heist that could get her expelled."
54,1992-03-12,54,/episode/54.webp,Dog of Death,3,"The Simpsons must make budget cuts in order to pay for Santa's Little Helper's stomach surgery, but Santa's Little Helper runs away after the family expresses resentment for having to give up their favorite things in order to pay for the vet bill. Meanwhile, everyone in Springfield is gunning for a chance at a $130 million-dollar lottery jackpot."
55,1992-03-26,55,/episode/55.webp,Colonel Homer,3,"After an embarrassing night at the movies with Marge, Homer gets the chance to manage an aspiring country music singer, Lurleen Lumpkin, but has to fight off her seductive charms and his own feelings for her to stay true to Marge."
56,1992-04-09,56,/episode/56.webp,Black Widower,3,"The Simpsons are getting ready to have dinner with Patty, Selma and Selma's new boyfriend. Of course, one can imagine their surprise when he turns out to be none other than Sideshow Bob, fresh from his stay in prison after the events in ""Krusty Gets Busted"". While everyone is impressed at how much Bob has changed, Bart still fears that Bob is planning something sinister."
57,1992-04-23,57,/episode/57.webp,The Otto Show,3,"After going to a Spinal Tap concert, Bart is fired up to be a rock star, but can't seem to master the electric guitar. Meanwhile, Otto ends up living with The Simpsons after losing his job (following a school bus crash and admitting to Principal Skinner and the local police that he somehow got a school bus driving job despite never getting a driver's license), failing his driver's test, and getting evicted from his apartment."
58,1992-05-07,58,/episode/58.webp,Bart's Friend Falls in Love,3,"Milhouse's relationship with a new beautiful girl at Springfield Elementary, Samantha Stankey, strains his friendship with Bart. Meanwhile, Marge orders a subliminal weight loss tape for Homer, but gets sent a vocabulary builder tape, which does nothing for Homer's appetite, but everything for his diction and word usage."
59,1992-08-27,59,/episode/59.webp,"Brother, Can You Spare Two Dimes?",3,"In this sequel to ""Oh Brother, Where Art Thou?"", Herbert Powell, Homer's once-wealthy half-brother, is now homeless and searching for the next new idea to take him back to the top — and all he needs is Homer's $2,000 prize money he got at a (rigged) award show and a place to stay (the Simpsons' house)."
60,1992-09-24,60,/episode/60.webp,Kamp Krusty,4,"Bart and Lisa spend six weeks at Kamp Krusty, which turns out to be an abusive, squalid hellhole run by a heartless businessman named Mr. Black and Springfield's resident teenage thugs, Dolph, Jimbo, and Kearney. Meanwhile, Krusty goes on vacation in England while Homer and Marge fall in love all over again without the kids (except Maggie, who isn't seen much in the story anyway)."
61,1992-10-01,61,/episode/61.webp,A Streetcar Named Marge,4,"Marge auditions for the role of Blanche in the local community theater's production of Oh, Streetcar!, a musical version of A Streetcar Named Desire, and gets it after the director notices how beaten-down and depressed she is whenever Homer orders her around. Meanwhile, Maggie is put in a daycare center modeled after the teachings of Ayn Rand and goes on a mission to liberate the daycare's supply of confiscated pacifiers."
62,1992-10-08,62,/episode/62.webp,Homer the Heretic,4,"Homer skips church for a Sunday due to the blistering cold weather and has such a great time, he decides to forgo mainstream religion in favor of his own self-invented theistic religion, which doesn't sit well with Marge."
63,1992-10-15,63,/episode/63.webp,Lisa the Beauty Queen,4,"Upset over a caricature artist's picture of her, Lisa sinks into a depression about her appearance. To cheer her up, Homer sells his ride on the Duff Blimp (which he won in a school raffle) to pay for Lisa's entry fee in an upcoming child pageant for little girls aged seven to nine, but when Lisa wins the title of Little Miss Springfield, she discovers that the title is a scam to get a child spokesperson for Laramie Cigarettes."
64,1992-10-29,64,/episode/64.webp,Treehouse of Horror III,4,"In the third annual Treehouse of Horror episode, the Simpsons are having a Halloween party for the neighborhood kids and decide to tell scary stories rather than go out trick-or-treating. In ""Clown Without Pity"" (Lisa's story), Homer buys Bart a talking Krusty doll that ends up trying to kill Homer; in ""King Homer"" (Grampa Simpson's story), Marge Bouvier goes on an island expedition with Mr. Burns and ends up the sacrifice to a giant ape who looks like Homer; and in ""Dial 'Z' for Zombie"" (Bart's story), Bart finds a book on the occult at the school library and uses a spell to raise the family's pet cat Snowball I from the dead, only to bring back dead humans and cause a zombie apocalypse in Springfield."
65,1992-11-03,65,/episode/65.webp,Itchy & Scratchy: The Movie,4,"Tired of Bart's constant misbehavior, Homer and Marge come up with the ultimate punishment: They forbid him from ever going to see the newly released Itchy & Scratchy movie."
66,1992-11-05,66,/episode/66.webp,Marge Gets a Job,4,"When the house needs expensive repairs, Marge is forced to get a job to help make ends meet. She is hired at the nuclear power plant and Mr. Burns quickly becomes attracted to her. Meanwhile, Bart tries his darnedest to get out of taking a test at school."
67,1992-11-12,67,/episode/67.webp,New Kid on the Block,4,"Bart falls in love his new next-door neighbor, young teenager Laura Powers. But try as he might, Bart can't get Laura to take a interest in him romantically and is heartbroken when he finds out that Laura is in love with Jimbo Jones. Meanwhile, Homer tries to sue the restaurant, The Frying Dutchman, after finding out that it's an all-you-can-eat restaurant."
68,1992-11-19,68,/episode/68.webp,Mr. Plow,4,"After Homer wrecks both of the family cars in a snowstorm, he purchases a snowplow truck and uses it to start a business as ""Mr. Plow,"" which proves to be surprisingly successful. Things go well for Homer until Barney starts his own snowplow business (""The Plow King""), competing with Homer, and steals all of Homer's customers."
69,1992-12-03,69,/episode/69.webp,Lisa's First Word,4,"While trying to get Maggie to say her first words, Marge recalls what happened a few years back when Lisa was born, when they first moved into their present home, and what Lisa's first word was."
70,1992-12-17,70,/episode/70.webp,Homer's Triple Bypass,4,"Homer is diagnosed with clogged arteries and needs triple bypass heart surgery. But the $40,000 price tag on the operation forces Homer to turn to Dr. Nick as a cheap alternative."
71,1993-01-14,71,/episode/71.webp,Marge vs. the Monorail,4,"After collecting a $3 million fine from Mr. Burns (for illegal disposal of nuclear waste), Springfield holds a town meeting to choose what to do with the money. Marge suggests they use it to fix Main Street, but a smooth-talking stranger named Lyle Lanley convinces the townspeople into spending the money on a needless monorail... which is built from shoddy materials. However, his slick salesmanship doesn't win over Lisa and Marge, both of whom suspect he is a con artist."
72,1993-01-21,72,/episode/72.webp,Selma's Choice,4,"Selma continues her quest to raise a family and not die alone after her aunt Gladys dies, and her maternal instincts are put to the test when she has to take Bart and Lisa to Duff Gardens after Homer gets food poisoning."
73,1993-02-04,73,/episode/73.webp,Brother from the Same Planet,4,"Fed up with being neglected by Homer, Bart joins the Big Brother program posing as an orphan in order to find a better father figure. However, Homer finds out about Bart's new friend Tom and exacts his revenge by donating his time as a big brother to a real orphan named Pepi. Meanwhile, Lisa tries to break her addiction to calling a hotline where pretty boy teen idol Corey talks to girls."
74,1993-02-11,74,/episode/74.webp,I Love Lisa,4,"On Valentine's Day, Lisa takes pity on Ralph and gives him a valentine when she sees that he hasn't received any. But Ralph reads too much into Lisa's gesture and, much to Lisa's dismay, relentlessly pursues her."
75,1993-02-18,75,/episode/75.webp,Duffless,4,"Homer is arrested for drunk driving, and Marge persuades him to swear off beer for a month, which gives Homer a whole new outlook on life. Meanwhile, after Bart ruins Lisa's science fair project, she comes up with a new experiment: To determine which is smarter, Bart or a hamster."
76,1993-03-11,76,/episode/76.webp,Last Exit to Springfield,4,"When the company dental plan is dropped, Homer becomes the new head of the workers' union to get it reinstated for the sake of Lisa, who wants invisible braces, but has to settle for rusted-out headgear that makes her look like a freak."
77,1993-04-01,77,/episode/77.webp,So It's Come to This: A Simpsons Clip Show,4,"Bart's April Fools' prank lands Homer in the hospital. While waiting for Homer to come out, the family reminisces about all the struggles they've gone through so far."
78,1993-04-15,78,/episode/78.webp,The Front,4,"After watching a terrible episode of The Itchy & Scratchy Show, Bart and Lisa agree they can write better episodes themselves, but when they get rejected by Roger Meyers, Jr., the pair use Grampa Simpson's real name (Abraham J. Simpson) to be taken more seriously, leading Grampa to be hired as an I&S writer. Meanwhile, Homer and Marge go to their high school reunion, and Homer must go back so he can pass remedial science 1-A."
79,1993-04-29,79,/episode/79.webp,Whacking Day,4,"Bart's latest stunt (driving Groundskeeper Willie's tractor into Superintendent Chalmers' posterior) lands him an explusion from Springfield Elementary. When moving to a private religious school doesn't help, Marge decides to home-school her son. Meanwhile, Lisa protests a local holiday where snakes get chased into the middle of town and whacked to death and enlists the help of Barry White (and Bart) to help the snakes escape abuse."
80,1993-05-06,80,/episode/80.webp,Marge in Chains,4,"While shopping for her family in the midst of an Asian flu epidemic, Marge gets arrested for shoplifting, which the town initially celebrates...until they realize that her marshmallow squares for the bake sale are sorely missed."
81,1993-05-13,81,/episode/81.webp,Krusty Gets Kancelled,4,"A new kids' show starring Gabbo, a sarcastic ventriloquist dummy, and Arthur Crandall, his straitlaced ventriloquist becomes more popular than The Krusty the Clown Show. After several failed attempts to compete with The Gabbo Show, Krusty's show gets canceled and he spirals into depression. It's up to Bart, Lisa, and Krusty's celebrity friends (Hugh Hefner, Bette Midler, Krusty's half-brother, Luke Perry; The Red Hot Chili Peppers, Elizabeth Taylor, and Johnny Carson) to save the clown's show with a star-studded comeback special."
82,1993-09-30,82,/episode/82.webp,Homer's Barbershop Quartet,5,"While at a swap meet, Bart finds an album cover with Homer's face on it. While driving home (and a little bit after that), Homer tells the story of how he, Apu, Principal Skinner, and Chief Wiggum (later replaced by Barney) became a Beatles-esque sensation in the mid-1980s."
83,,83,/episode/83.webp,Cape Feare,5,"Sideshow Bob is paroled and out for Bart's blood again, so the Simpsons go into Witness Protection/Relocation and become The Thompsons."
84,1993-10-14,84,/episode/84.webp,Homer Goes to College,5,"After Homer fails a competency test at the plant, Mr. Burns is forced to put Homer in college so he can keep his job. Too bad Homer thinks college life is similar to what most viewers have seen in National Lampoon's Animal House and other raunchy campus comedies..."
85,1993-10-21,85,/episode/85.webp,Rosebud,5,"It's Mr. Charles Montgomery Burns's birthday, but, despite getting everything a cold, loveless billionaire could ever want (including King Arthur's Excalibur, the only existing nude painting of Mark Twain, a unicorn, all of Australia spelling his name in lights, the unrequited love of his assistant, Smithers; and an early draft of the U.S. Constitution with the word ""suckers"" in it), all Mr. Burns really wants is Bobo, the teddy bear he abandoned the day he was adopted into wealth a la Charles Foster Kane. And when The Simpsons discover the bear inside a bag of ice that Bart bought from the Kwik-E-Mart, Mr. Burns does whatever he can to reclaim his childhood toy."
86,1993-10-28,86,/episode/86.webp,Treehouse of Horror IV,5,"This go-around is done in the style of Night Gallery with Bart hosting the in-betweens while babysitting Maggie as Marge goes to get gift-shop earrings, but not before telling Bart that this year's Halloween special may be too scary for some viewers."
87,1993-11-04,87,/episode/87.webp,Marge on the Lam,5,"Marge makes friends with Ruth Powers (the divorced mother from ""New Kid on the Block"") after Homer bails on taking her to the ballet. However, one night with Ruth leads to a Thelma & Louise-style run from the law when Ruth confesses that she stole her husband's car as revenge for him not paying child support. Meanwhile, Homer tries to have fun without Marge and ends up with Chief Wiggum when he goes after Marge and Ruth, while Lionel Hutz babysits the Simpson kids after Homer finds him rooting through their garbage."
88,1993-11-11,88,/episode/88.webp,Bart's Inner Child,5,"After Homer brings home a trampoline for the kids to play with (and the trampoline causes every kid in town to get injured), Marge realizes that she's a boring nag and her sisters recommend that Marge listen to a local motivational speaker named Brad Goodman, who encourages everyone in town to act like Bart during his latest motivational seminar."
89,1993-11-19,89,/episode/89.webp,Boy-Scoutz 'n the Hood,5,"After Bart and Milhouse go on a sugar bender after finding a $20 bill (that Homer found under the couch while looking for a peanut and lost when he slipped on the very peanut he was trying to find) and spending most of the money on a Squishee made of syrup, Bart wakes to find that he's a member of the geekiest club known to man: The Junior Campers (not affiliated with The Boy Scouts of America)."
90,1993-12-09,90,/episode/90.webp,The Last Temptation of Homer,5,"Mindy Simmons, a sexy new employee at the Springfield Nuclear Power Plant, proves alarmingly compatible with Homer, who worries that his attraction to her may mean danger for his marriage. Meanwhile, Bart becomes a nerd after being fitted for glasses and prescribed medicated hair salve, orthopedic shoes, and throat spray that makes him sound like Jerry Lewis from The Nutty Professor."
91,1993-12-16,91,/episode/91.webp,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",5,"Legalized gambling comes to Springfield as a new revenue stream after news hits that the town's economy is on the down slope. When Mr. Burns constructs a casino, Homer gets a job as a blackjack dealer, Marge finds herself addicted to the slots, Bart opens up his own treehouse casino to show up a teenaged worker who had him thrown out for being underaged, Mr. Burns' constant surveillance of the casino turns him into Howard Hughes in his later years, and poor Lisa can't find anyone to help her make her Florida costume for the school state pageant."
